13/12/2007,8485.55957,8522.139648,8187.950195,8187.950195,8187.919434,4780800
14/12/2007,8186.25,8202.94043,7922.660156,8118.080078,8118.049316,5018200
17/12/2007,8041.600098,8092.959961,7830.850098,7830.850098,7830.820801,4238600
18/12/2007,7730.790039,7913.879883,7664.620117,7807.390137,7807.361328,5093400
19/12/2007,7881.009766,8020.390137,7865.47998,8014.310059,8014.279297,4126800
20/12/2007,8044.169922,8048,7840.709961,7857.080078,7857.050293,3574200
21/12/2007,7903.140137,8006.560059,7810.27002,7941.439941,7941.409668,4020400
24/12/2007,8074.439941,8135.47998,8061.310059,8135.47998,8135.449219,3149200
25/12/2007,8166.180176,8181.609863,8119.850098,8167.069824,8167.039063,3340600
26/12/2007,8125.450195,8173.899902,8071.629883,8156.390137,8156.359375,2853000
27/12/2007,8169.189941,8355.280273,8169.189941,8313.719727,8313.6875,4360200
28/12/2007,8269.320313,8460.179688,8269.320313,8396.950195,8396.917969,4325200
31/12/2007,8450.320313,8506.280273,8414.790039,8506.280273,8506.248047,3607200
02/01/2008,8491.570313,8532.919922,8319.580078,8323.049805,8323.017578,4372600
03/01/2008,8171.680176,8243.929688,8130.410156,8184.200195,8184.169434,3636400
04/01/2008,8134.040039,8247.179688,8097.850098,8221.099609,8221.067383,4603600
07/01/2008,7959.919922,8015.930176,7883.370117,7883.370117,7883.339844,4539800
08/01/2008,7909.259766,8011.069824,7895.779785,7962.910156,7962.879883,4618800
09/01/2008,7842.160156,8085.060059,7818.310059,8085.060059,8085.029297,4682400
10/01/2008,8153.080078,8177.129883,8057.27002,8057.27002,8057.239258,4480000
11/01/2008,8134.109863,8151.950195,8026.339844,8029.310059,8029.279297,3920400
14/01/2008,8254,8260.879883,8097.680176,8173.410156,8173.379395,6106000
15/01/2008,8316.240234,8546.200195,8312.019531,8428.839844,8428.807617,7548600
16/01/2008,8286.30957,8375.05957,8179.540039,8179.540039,8179.509277,7645200
17/01/2008,8245.19043,8300.290039,8004.470215,8101.629883,8101.599121,6393800
18/01/2008,7934.859863,8184.649902,7883.910156,8184.649902,8184.619141,5977400
21/01/2008,8167.47998,8220.629883,8099.589844,8110.200195,8110.169434,5519000
22/01/2008,7595.169922,7741.990234,7566.75,7581.959961,7581.931152,4674600
23/01/2008,7708.27002,7708.27002,7384.609863,7408.399902,7408.37207,5692200
24/01/2008,7639.22998,7653.080078,7412.970215,7517.049805,7517.021484,5326400
25/01/2008,7648.290039,7739.589844,7648.290039,7739.589844,7739.561035,4640400
28/01/2008,7678.810059,7705.609863,7478.200195,7485.790039,7485.762207,3969400
29/01/2008,7593.709961,7603.379883,7447.439941,7576.419922,7576.391113,3867400
